pv,cnt,avg_rate,0_pct
<5,2453186,2.86011,95.58285
5-19,1031973,2.49452,82.63918
20-49,355834,2.35694,62.24925
50-99,155347,2.29891,43.88884
100-499,141859,2.25629,23.76726
≥500,22939,1.96973,4.95662
